MemberID,FirstName,LastName,DateOfBirth,Email,Phone,RegistrationDate,MembershipStatus,TierID,LastPaymentDate,NextPaymentDueDate,TotalPaymentsMade
1,Alice,Smith,15/01/1990,alice.smith@example.com,555-1111,01/01/2024,Active,3,10/05/2025,10/06/2025,80
2,Bob,Johnson,22/03/1988,bob.j@example.com,555-2222,05/02/2024,Active,2,15/05/2025,15/06/2025,50
3,Charlie,Brown,01/07/1995,charlie.b@example.com,555-3333,10/03/2024,Expired,1,01/04/2025,01/05/2025,30
4,Dana,Miller,10/09/1992,dana.m@example.com,555-4444,01/04/2024,Active,4,05/05/2025,05/06/2025,120
5,Eve,Davis,25/11/1993,eve.d@example.com,555-5555,12/05/2024,Active,2,20/05/2025,20/06/2025,50
6,Frank,Garcia,14/02/1987,frank.g@example.com,555-6666,01/06/2024,Active,1,25/05/2025,25/06/2025,30
7,Grace,Rodriguez,03/08/1991,grace.r@example.com,555-7777,08/07/2024,Active,3,01/05/2025,01/06/2025,80
8,Henry,Martinez,30/12/1986,henry.m@example.com,555-8888,15/08/2024,Expired,2,10/04/2025,10/05/2025,50
9,Ivy,Hernandez,05/04/1994,ivy.h@example.com,555-9999,01/09/2024,Active,1,03/05/2025,03/06/2025,30
10,Jack,Lopez,18/06/1989,jack.l@example.com,555-0000,01/10/2024,Active,4,12/05/2025,12/06/2025,120
11,Karen,Gonzalez,20/01/1996,karen.g@example.com,555-1010,01/11/2024,Active,2,18/05/2025,18/06/2025,50
12,Liam,Wilson,05/05/1985,liam.w@example.com,555-1111,01/12/2024,Active,1,22/05/2025,22/06/2025,30
13,Mia,Anderson,07/07/1997,mia.a@example.com,555-2222,01/01/2025,Active,3,07/05/2025,07/06/2025,80
14,Noah,Thomas,09/09/1990,noah.t@example.com,555-3333,01/02/2025,Active,2,14/05/2025,14/06/2025,50
15,Olivia,Jackson,11/11/1988,olivia.j@example.com,555-4444,01/03/2025,Active,1,19/05/2025,19/06/2025,30
